Test Case ID,Test Items,Pre-condition,Test Data,Test Steps,Expected results,A result
TC-SCH-006,Chuyển atMs sang schedule.at,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuyển atMs sang schedule.at.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuyển atMs sang schedule.at. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > coerces schedule.atMs string to schedule.at (UTC).,Hệ thống chuyển atMs sang schedule.at đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-007,Chuyển schedule.cron cũ sang schedule.expr,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuyển schedule.cron cũ sang schedule.expr.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuyển schedule.cron cũ sang schedule.expr. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > migrates legacy schedule.cron into schedule.expr.,Hệ thống chuyển schedule.cron cũ sang schedule.expr đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-008,Thêm stagger mặc định cho lịch cron định kỳ,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để thêm stagger mặc định cho lịch cron định kỳ.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống thêm stagger mặc định cho lịch cron định kỳ. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > defaults cron stagger for recurring top-of-hour schedules.,Hệ thống thêm stagger mặc định cho lịch cron định kỳ đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-009,Giữ nguyên lịch cron exact,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để giữ nguyên lịch cron exact.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống giữ nguyên lịch cron exact. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > preserves explicit exact cron schedule.,Hệ thống giữ nguyên lịch cron exact đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-010,Thiết lập deleteAfterRun cho lịch chạy một lần,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để thiết lập deleteAfterRun cho lịch chạy một lần.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống thiết lập deleteAfterRun cho lịch chạy một lần. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > defaults deleteAfterRun for one-shot schedules.,Hệ thống thiết lập deleteAfterRun cho lịch chạy một lần đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-011,Chuẩn hóa delivery mode và channel,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để Chuẩn hóa delivery mode và channel.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống Chuẩn hóa delivery mode và channel. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > normalizes delivery mode and channel.,Hệ thống Chuẩn hóa delivery mode và channel đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-012,Chuẩn hóa delivery accountId,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuẩn hóa delivery accountId.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuẩn hóa delivery accountId. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > normalizes delivery accountId and strips blanks.,Hệ thống chuẩn hóa delivery accountId đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-013,Loại bỏ delivery accountId rỗng,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để loại bỏ delivery accountId rỗng.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống loại bỏ delivery accountId rỗng. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > strips empty accountId from delivery.,Hệ thống loại bỏ delivery accountId rỗng đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-014,Chuẩn hóa webhook delivery và URL đích,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để Chuẩn hóa webhook delivery và URL đích.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống Chuẩn hóa webhook delivery và URL đích. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > normalizes webhook delivery mode and target URL.,Hệ thống Chuẩn hóa webhook delivery và URL đích đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-015,Chuẩn hóa delivery cho agentTurn isolated,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuẩn hóa delivery cho agentTurn isolated.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuẩn hóa delivery cho agentTurn isolated. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > defaults isolated agentTurn delivery to announce.,Hệ thống chuẩn hóa delivery cho agentTurn isolated đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-016,Chuyển các trường delivery cũ sang delivery mới,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuyển các trường delivery cũ sang delivery mới.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuyển các trường delivery cũ sang delivery mới. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > migrates legacy delivery fields to delivery.,Hệ thống chuyển các trường delivery cũ sang delivery mới đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-017,Chuyển deliver=false sang delivery none,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuyển deliver=false sang delivery none.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuyển deliver=false sang delivery none. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > maps legacy deliver=false to delivery none.,Hệ thống chuyển deliver=false sang delivery none đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-018,Chuyển cấu hình isolation cũ sang delivery announce,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuyển cấu hình isolation cũ sang delivery announce.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuyển cấu hình isolation cũ sang delivery announce. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > migrates legacy isolation settings to announce delivery.,Hệ thống chuyển cấu hình isolation cũ sang delivery announce đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-019,Suy luận target/name cho job gửi message,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để suy luận target/name cho job gửi message.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống suy luận target/name cho job gửi message. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > infers payload kind/session target and name for message-only jobs.,Hệ thống suy luận target/name cho job gửi message đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-020,"Chuyển model, thinking và timeout cũ vào payload",Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,"Payload cron job chứa dữ liệu để chuyển model, thinking và timeout cũ vào payload.","1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuyển model, thinking và timeout cũ vào payload. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > maps top-level model/thinking/timeout into payload for legacy add params.","Hệ thống chuyển model, thinking và timeout cũ vào payload đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.",Pass
TC-SCH-021,NormalizeCronJobCreate preserves timeoutSeconds=0 for no-timeout agentTurn payloads,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để normalizeCronJobCreate preserves timeoutSeconds=0 for no-timeout agentTurn payloads.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống normalizeCronJobCreate preserves timeoutSeconds=0 for no-timeout agentTurn payloads. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > preserves timeoutSeconds=0 for no-timeout agentTurn payloads.,Hệ thống normalizeCronJobCreate preserves timeoutSeconds=0 for no-timeout agentTurn payloads đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-022,NormalizeCronJobCreate coerces sessionTarget and wakeMode casing,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để normalizeCronJobCreate coerces sessionTarget and wakeMode casing.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống normalizeCronJobCreate coerces sessionTarget and wakeMode casing. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > coerces sessionTarget and wakeMode casing.,Hệ thống normalizeCronJobCreate coerces sessionTarget and wakeMode casing đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-023,Loại bỏ delivery mode không hợp lệ,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để Loại bỏ delivery mode không hợp lệ.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống Loại bỏ delivery mode không hợp lệ. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > strips invalid delivery mode from partial delivery objects.,Hệ thống Loại bỏ delivery mode không hợp lệ đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-024,Gắn sessionTarget hiện tại với session đã lưu khi có context,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để gắn sessionTarget hiện tại với session đã lưu khi có context.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống gắn sessionTarget hiện tại với session đã lưu khi có context. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > resolves current sessionTarget to a persistent session when context is available.,Hệ thống gắn sessionTarget hiện tại với session đã lưu khi có context đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-025,Chuyển sessionTarget hiện tại về isolated khi thiếu context,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuyển sessionTarget hiện tại về isolated khi thiếu context.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuyển sessionTarget hiện tại về isolated khi thiếu context. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > falls back current sessionTarget to isolated without context.,Hệ thống chuyển sessionTarget hiện tại về isolated khi thiếu context đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-026,Giữ nguyên session id tùy chỉnh có tiền tố session:,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để giữ nguyên session id tùy chỉnh có tiền tố session:.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống giữ nguyên session id tùy chỉnh có tiền tố session:. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > preserves custom session ids with a session: prefix.,Hệ thống giữ nguyên session id tùy chỉnh có tiền tố session: đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-027,Suy luận payload kind agentTurn khi patch chỉ có model,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để suy luận payload kind agentTurn khi patch chỉ có model.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống suy luận payload kind agentTurn khi patch chỉ có model. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobPatch > infers agentTurn kind for model-only payload patches.,Hệ thống suy luận payload kind agentTurn khi patch chỉ có model đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-028,Không suy luận agentTurn khi chỉ có gợi ý delivery cũ,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để không suy luận agentTurn khi chỉ có gợi ý delivery cũ.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống không suy luận agentTurn khi chỉ có gợi ý delivery cũ. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobPatch > does not infer agentTurn kind for delivery-only legacy hints.,Hệ thống không suy luận agentTurn khi chỉ có gợi ý delivery cũ đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-029,Giữ patch sessionKey null và trim giá trị chuỗi,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để giữ patch sessionKey null và trim giá trị chuỗi.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống giữ patch sessionKey null và trim giá trị chuỗi. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobPatch > preserves null sessionKey patches and trims string values.,Hệ thống giữ patch sessionKey null và trim giá trị chuỗi đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-030,Chuẩn hóa stagger cron trong patch schedule,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuẩn hóa stagger cron trong patch schedule.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuẩn hóa stagger cron trong patch schedule. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobPatch > normalizes cron stagger values in patch schedules.,Hệ thống chuẩn hóa stagger cron trong patch schedule đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-LOG-001,Đọc cấu hình prune run log và áp dụng mặc định,Có thư mục stateDir test và jobId dùng để ghi hoặc đọc run log.,"jobId, file JSONL run log và bản ghi run dùng để đọc cấu hình prune run log và áp dụng mặc định.",1. Chuẩn bị jobId và run log theo dữ liệu test. 2. Gọi hàm đọc/ghi run log tương ứng. 3. Kiểm tra file hoặc dữ liệu trả về để xác nhận hệ thống đọc cấu hình prune run log và áp dụng mặc định. Minh chứng Vitest: src/cron/run-log.test.ts - cron run log > resolves prune options from config with defaults.,Hệ thống đọc cấu hình prune run log và áp dụng mặc định đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-LOG-002,Tạo đường dẫn run log riêng theo jobId,Có thư mục stateDir test và jobId dùng để ghi hoặc đọc run log.,"jobId, file JSONL run log và bản ghi run dùng để tạo đường dẫn run log riêng theo jobId.",1. Chuẩn bị jobId và run log theo dữ liệu test. 2. Gọi hàm đọc/ghi run log tương ứng. 3. Kiểm tra file hoặc dữ liệu trả về để xác nhận hệ thống tạo đường dẫn run log riêng theo jobId. Minh chứng Vitest: src/cron/run-log.test.ts - cron run log > resolves store path to per-job runs/<jobId>.jsonl.,Hệ thống tạo đường dẫn run log riêng theo jobId đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-LOG-003,Từ chối jobId không an toàn khi tạo đường dẫn log,Có thư mục stateDir test và jobId dùng để ghi hoặc đọc run log.,"jobId, file JSONL run log và bản ghi run dùng để từ chối jobId không an toàn khi tạo đường dẫn log.",1. Chuẩn bị jobId và run log theo dữ liệu test. 2. Gọi hàm đọc/ghi run log tương ứng. 3. Kiểm tra file hoặc dữ liệu trả về để xác nhận hệ thống từ chối jobId không an toàn khi tạo đường dẫn log. Minh chứng Vitest: src/cron/run-log.test.ts - cron run log > rejects unsafe job ids when resolving run log path.,Hệ thống từ chối jobId không an toàn khi tạo đường dẫn log đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-LOG-004,Ghi thêm JSONL và cắt bớt theo số dòng,Có thư mục stateDir test và jobId dùng để ghi hoặc đọc run log.,"jobId, file JSONL run log và bản ghi run dùng để ghi thêm JSONL và cắt bớt theo số dòng.",1. Chuẩn bị jobId và run log theo dữ liệu test. 2. Gọi hàm đọc/ghi run log tương ứng. 3. Kiểm tra file hoặc dữ liệu trả về để xác nhận hệ thống ghi thêm JSONL và cắt bớt theo số dòng. Minh chứng Vitest: src/cron/run-log.test.ts - cron run log > appends JSONL and prunes by line count.,Hệ thống ghi thêm JSONL và cắt bớt theo số dòng đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-LOG-005,Ghi file run log với quyền truy cập an toàn,Có thư mục stateDir test và jobId dùng để ghi hoặc đọc run log.,"jobId, file JSONL run log và bản ghi run dùng để ghi file run log với quyền truy cập an toàn.",1. Chuẩn bị jobId và run log theo dữ liệu test. 2. Gọi hàm đọc/ghi run log tương ứng. 3. Kiểm tra file hoặc dữ liệu trả về để xác nhận hệ thống ghi file run log với quyền truy cập an toàn. Minh chứng Vitest: src/cron/run-log.test.ts - cron run log > writes run log files with secure permissions.,Hệ thống ghi file run log với quyền truy cập an toàn đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
